,startbpid,endbpid,isleaf,isroot,parent_vox_x,parent_vox_y,parent_vox_z,vox_x,vox_y,vox_z,weibel_generation,radius_vox,centerlinelength_vox,idno
0,-1,285,False,True,265.5,243.50000000000003,639.5,258.5,273.5,475.5,0,10.204661819931706,124.35588345213702,ATM_example
1,285,189,False,False,258.5,273.5,475.5,241.5,275.5,439.5,1,9.723924515903862,33.08551201126937,ATM_example
2,285,187,False,False,258.5,273.5,475.5,300.5,282.5,402.5,1,8.097372401335434,73.52517929592103,ATM_example
3,187,184,False,False,300.5,282.5,402.5,316.5,279.5,408.5,2,6.678741315496717,19.835589636125864,ATM_example
4,189,283,False,False,241.5,275.5,439.5,219.5,281.5,448.5,2,6.2802363578500096,27.88356649289855,ATM_example
5,187,1,False,False,300.5,282.5,402.5,310.5,289.5,374.5,2,5.823216748194418,24.945392031345676,ATM_example
6,189,284,False,False,241.5,275.5,439.5,227.5,280.5,374.5,2,6.7301021385766155,50.30809684780245,ATM_example
7,283,282,False,False,219.5,281.5,448.5,214.5,282.5,460.5,3,3.9951383095720545,10.600112107124204,ATM_example
8,1,8,False,False,310.5,289.5,374.5,313.5,302.5,375.5,3,4.143106395111761,15.877897513635183,ATM_example
9,184,170,False,False,316.5,279.5,408.5,329.5,270.5,391.5,3,3.9299495725860303,22.47443175667097,ATM_example
10,283,177,False,False,219.5,281.5,448.5,207.5,275.5,445.5,3,3.722742515737596,16.097676776529177,ATM_example
11,284,181,False,False,227.5,280.5,374.5,213.5,269.5,353.5,3,3.889206611969765,26.069369814935108,ATM_example
12,1,182,False,False,310.5,289.5,374.5,320.5,289.5,341.5,3,5.074194111235125,26.70528315176557,ATM_example
13,284,183,False,False,227.5,280.5,374.5,223.5,286.5,357.5,3,5.427738410479205,15.008326127058886,ATM_example
14,184,2,False,False,316.5,279.5,408.5,324.5,281.5,431.5,3,4.449131299296152,19.336182603018297,ATM_example
15,170,171,False,False,329.5,270.5,391.5,329.5,269.5,390.5,4,3.14768472875374,1.392294784585466,ATM_example
16,8,162,False,False,313.5,302.5,375.5,320.5,312.5,371.5,4,2.4515621445101243,14.798512122481712,ATM_example
17,177,175,False,False,207.5,275.5,445.5,198.5,263.5,440.5,4,2.784490336974462,18.197228328104117,ATM_example
18,2,38,False,False,324.5,281.5,431.5,337.5,287.5,436.5,4,2.0715531975558803,17.403201396886697,ATM_example
19,182,178,False,False,320.5,289.5,341.5,323.5,298.5,318.5,4,3.874073512312295,20.124175203428308,ATM_example
20,2,179,False,False,324.5,281.5,431.5,323.5,281.5,434.5,4,4.51975243103101,2.477757639244142,ATM_example
21,181,173,False,False,213.5,269.5,353.5,208.5,260.5,341.5,4,3.6319439177927775,15.014432275042045,ATM_example
22,182,209,False,False,320.5,289.5,341.5,326.5,286.5,331.5,4,4.025404508886994,10.775541833980352,ATM_example
23,183,169,False,False,223.5,286.5,357.5,221.5,296.5,353.5,4,3.299015725328439,12.465698380716084,ATM_example
24,177,155,False,False,207.5,275.5,445.5,191.5,278.5,449.5,4,2.663425539714703,19.569073070374635,ATM_example
25,282,221,False,False,214.5,282.5,460.5,210.5,278.5,491.5,4,2.4443559065779956,23.44886346734321,ATM_example
26,8,136,False,False,313.5,302.5,375.5,312.5,308.5,381.5,4,2.1791663506756658,8.437940306546844,ATM_example
27,170,134,False,False,329.5,270.5,391.5,349.5,273.5,402.5,4,1.969320702092083,25.330052039402794,ATM_example
28,183,247,False,False,223.5,286.5,357.5,218.5,287.5,339.5,4,4.903124289020249,14.383335325844959,ATM_example
29,282,207,False,False,214.5,282.5,460.5,210.5,292.5,472.5,4,2.771038692834489,15.47795291775053,ATM_example
30,181,12,False,False,213.5,269.5,353.5,199.5,271.5,354.5,4,2.8329162558783656,16.82860955083675,ATM_example
31,155,98,False,False,191.5,278.5,449.5,181.5,277.5,466.5,5,1.674729695426669,17.161168901019536,ATM_example
32,207,99,False,False,210.5,292.5,472.5,212.5,299.5,459.5,5,1.4796808553970575,12.792625448267215,ATM_example
33,171,120,False,False,329.5,269.5,390.5,341.5,257.5,351.5,5,2.5378768610749525,34.72364652613308,ATM_example
34,38,133,False,False,337.5,287.5,436.5,340.5,290.5,435.5,5,1.856326891316308,5.095687366494955,ATM_example
35,173,157,False,False,208.5,260.5,341.5,197.5,253.50000000000003,320.5,5,2.2598762155155057,21.72198075241678,ATM_example
36,155,156,False,False,191.5,278.5,449.5,183.5,282.5,444.5,5,2.2195212830955855,11.233801408344622,ATM_example
37,136,150,False,False,312.5,308.5,381.5,313.5,315.5,393.5,5,2.3304973472503647,12.094776419639516,ATM_example
38,175,132,False,False,198.5,263.5,440.5,179.5,257.5,440.5,5,1.9370367561561475,23.687841697724004,ATM_example
39,175,164,False,False,198.5,263.5,440.5,198.5,259.5,440.5,5,2.8450227356043425,4.755434782608696,ATM_example
40,247,180,False,False,218.5,287.5,339.5,211.5,290.5,314.5,5,4.458033122624076,20.252498253173,ATM_example
41,179,172,False,False,323.5,281.5,434.5,324.5,275.5,446.5,5,3.4806129212180776,11.309713155695277,ATM_example
42,209,174,False,False,326.5,286.5,331.5,331.5,282.5,309.5,5,3.6470770174502465,17.666269360057107,ATM_example
43,136,92,False,False,312.5,308.5,381.5,308.5,315.5,364.5,5,2.118633952045786,15.608454699717063,ATM_example
44,173,210,False,False,208.5,260.5,341.5,207.5,251.50000000000003,335.5,5,2.7671953659373534,11.610390240517255,ATM_example
45,209,214,False,False,326.5,286.5,331.5,341.5,290.5,333.5,5,2.4212959451951845,18.51286535490175,ATM_example
46,178,244,False,False,323.5,298.5,318.5,334.5,312.5,310.5,5,2.465319507835097,21.94651292691847,ATM_example
47,207,246,False,False,210.5,292.5,472.5,208.5,296.5,480.5,5,2.5423607424549437,7.8660082111415495,ATM_example
48,171,248,False,False,329.5,269.5,390.5,337.5,253.50000000000003,384.5,5,2.5423607424549437,21.706837427762522,ATM_example
49,169,250,False,False,221.5,296.5,353.5,226.5,298.5,352.5,5,1.9975691547860273,6.443078822858057,ATM_example
50,134,488,True,False,349.5,273.5,402.5,381.5,262.5,414.5,5,1.2986950978774172,41.157504658330495,ATM_example
51,221,277,False,False,210.5,278.5,491.5,206.5,272.5,500.5,5,1.9975691547860273,10.771680518530488,ATM_example
52,38,336,True,False,337.5,287.5,436.5,360.5,285.5,449.5,5,1.4225113678021708,29.018546914154623,ATM_example
53,179,168,False,False,323.5,281.5,434.5,327.5,293.5,464.5,5,3.4382402421771623,26.433527796662666,ATM_example
54,12,86,False,False,199.5,271.5,354.5,194.5,269.5,361.5,5,1.6949071616366291,8.16811199895391,ATM_example
55,162,199,False,False,320.5,312.5,371.5,329.5,319.5,377.5,5,2.040806582378798,14.235295622221278,ATM_example
56,169,10,False,False,221.5,296.5,353.5,220.5,297.5,352.5,5,2.663425539714703,1.8308112315068636,ATM_example
57,12,14,False,False,199.5,271.5,354.5,195.5,272.5,352.5,5,2.3002311479354254,5.111550062916025,ATM_example
58,221,37,False,False,210.5,278.5,491.5,208.5,281.5,509.5,5,2.3204086141453852,13.729760745138213,ATM_example
59,134,33,False,False,349.5,273.5,402.5,354.5,273.5,397.5,5,1.9975691547860273,6.961473922927333,ATM_example
60,247,28,False,False,218.5,287.5,339.5,220.5,280.5,296.5,5,2.2437342425475375,32.33912302004964,ATM_example
61,178,5,False,False,323.5,298.5,318.5,323.5,303.5,288.5,5,3.571411519162897,22.537178550479343,ATM_example
62,162,61,False,False,320.5,312.5,371.5,323.5,341.5,346.5,5,2.0581015534159066,39.109648478235954,ATM_example
63,210,11,False,False,207.5,251.50000000000003,335.5,204.5,241.50000000000003,327.5,6,2.5423607424549437,13.699100336154176,ATM_example
64,5,159,False,False,323.5,303.5,288.5,320.5,311.5,268.5,6,2.732605423863136,17.697938084790252,ATM_example
65,33,353,True,False,354.5,273.5,397.5,379.5,274.5,385.5,6,1.4955063190911433,30.99021419126164,ATM_example
66,92,54,True,False,308.5,315.5,364.5,306.5,315.5,342.5,6,1.2711803712274719,16.118369277556102,ATM_example
67,174,161,False,False,331.5,282.5,309.5,338.5,272.5,283.5,6,2.515457454174997,23.781543443398814,ATM_example
68,214,252,False,False,341.5,290.5,333.5,344.5,294.5,337.5,6,1.8765043575262679,6.6133366207227295,ATM_example
69,164,13,False,False,198.5,259.5,440.5,195.5,246.50000000000003,426.5,6,2.360763546565305,18.828225736907402,ATM_example
70,250,60,False,False,226.5,298.5,352.5,231.5,297.5,343.5,6,2.040806582378798,8.903992994121612,ATM_example
71,37,56,False,False,208.5,281.5,509.5,212.5,282.5,528.5,6,1.8066592821840992,14.614669396295803,ATM_example
72,98,263,False,False,181.5,277.5,466.5,169.5,271.5,472.5,6,1.4225113678021708,16.532177453784527,ATM_example
73,61,381,True,False,323.5,341.5,346.5,325.5,356.5,354.5,6,1.1501155739677127,18.90162823164592,ATM_example
74,246,251,False,False,208.5,296.5,480.5,211.5,301.5,493.5,6,2.1791663506756658,11.696022866484403,ATM_example
75,210,53,True,False,207.5,251.50000000000003,335.5,213.5,247.50000000000003,331.5,6,1.8159719588963883,9.049730173388742,ATM_example
76,199,151,False,False,329.5,319.5,377.5,340.5,326.5,374.5,6,1.7857057595814485,15.652518890559723,ATM_example
77,132,536,True,False,179.5,257.5,440.5,164.5,246.50000000000003,447.5,6,1.5188129110769792,22.688347186731427,ATM_example
78,248,206,False,False,337.5,253.50000000000003,384.5,337.5,242.50000000000003,387.5,6,2.4515621445101243,13.256903209504372,ATM_example
79,150,455,True,False,313.5,315.5,393.5,316.5,350.5,415.5,6,1.5179663041031348,44.70196165704414,ATM_example
80,168,17,False,False,327.5,293.5,464.5,325.5,294.5,475.5,6,2.4212959451951845,8.402618463004687,ATM_example
81,14,356,True,False,195.5,272.5,352.5,179.5,281.5,358.5,6,1.9572142223661075,22.25341178527878,ATM_example
82,214,228,True,False,341.5,290.5,333.5,372.5,287.5,324.5,6,1.2682978760546204,37.59676222185096,ATM_example
83,199,457,True,False,329.5,319.5,377.5,351.5,341.5,401.5,6,1.5859488441028458,40.87314699412334,ATM_example
84,133,367,True,False,340.5,290.5,435.5,360.5,301.5,435.5,6,1.2798278567460262,27.13620430488903,ATM_example
85,156,330,True,False,183.5,282.5,444.5,158.5,283.5,437.5,6,1.5952067403638865,30.174639974147897,ATM_example
86,172,239,False,False,324.5,275.5,446.5,325.5,272.5,473.5,6,2.446783270934081,19.92314185943763,ATM_example
87,14,26,False,False,195.5,272.5,352.5,185.5,269.5,347.5,6,2.148900151360726,12.930060287204057,ATM_example
88,157,32,False,False,197.5,253.50000000000003,320.5,176.5,243.50000000000003,302.5,6,1.9531787291241156,30.574067593027436,ATM_example
89,246,35,False,False,208.5,296.5,480.5,198.5,304.5,486.5,6,2.118633952045786,15.833468710038776,ATM_example
90,244,39,False,False,334.5,312.5,310.5,339.5,314.5,308.5,6,1.6949071616366291,6.564187994293754,ATM_example
91,37,176,False,False,208.5,281.5,509.5,197.5,287.5,535.5,6,1.5603907202368963,24.018095023046428,ATM_example
92,120,243,False,False,341.5,257.5,351.5,351.5,250.50000000000003,344.5,6,1.6343747630067496,15.372841422937713,ATM_example
93,92,75,True,False,308.5,315.5,364.5,300.5,328.5,362.5,6,1.0694057091278732,18.204919765351868,ATM_example
94,156,535,True,False,183.5,282.5,444.5,160.5,309.5,436.5,6,1.6828006819106531,42.563419892952076,ATM_example
95,164,213,False,False,198.5,259.5,440.5,198.5,248.50000000000003,452.5,6,2.3002311479354254,15.704583774020916,ATM_example
96,61,510,True,False,323.5,341.5,346.5,325.5,350.5,330.5,6,1.3317127698573514,15.955038881247644,ATM_example
97,28,334,True,False,220.5,280.5,296.5,223.5,274.5,293.5,6,1.3317127698573514,8.266088726892265,ATM_example
98,133,411,True,False,340.5,290.5,435.5,339.5,293.5,425.5,6,1.2711803712274719,8.163567043755325,ATM_example
99,99,410,True,False,212.5,299.5,459.5,208.5,300.5,444.5,6,1.276683316557461,11.923715569611483,ATM_example
100,99,408,True,False,212.5,299.5,459.5,213.5,322.5,456.5,6,0.9987845773930136,27.45578166764394,ATM_example
101,10,114,False,False,220.5,297.5,352.5,210.5,308.5,357.5,6,1.7857057595814485,18.04121888432829,ATM_example
102,28,118,False,False,220.5,280.5,296.5,217.5,275.5,260.5,6,2.0581015534159066,26.99230243063479,ATM_example
103,277,268,False,False,206.5,272.5,500.5,197.5,269.5,507.5,6,1.6646409623216893,12.36667047023369,ATM_example
104,98,403,True,False,181.5,277.5,466.5,166.5,286.5,495.5,6,1.7554395602665087,29.565261966534045,ATM_example
